Region,count,mean,std,min,25%,50%,75%,max
0x20005800,3578.0,49.70636255851733,0.8209587584194868,47.1435546875,49.1943359375,49.71923828125,50.2685546875,52.001953125
0x20005a00,3578.0,49.60444169446968,0.8943380202849306,46.8505859375,48.9990234375,49.609375,50.1708984375,52.587890625
0x20005c00,3578.0,49.64416060386389,0.7820937768568791,47.607421875,49.0966796875,49.5361328125,50.146484375,52.1484375
0x20005e00,3578.0,49.5539964278228,0.789995060377803,46.6552734375,49.072265625,49.5849609375,50.09765625,51.7822265625
0x20006000,3578.0,49.573702356414195,0.8945645749062862,45.947265625,48.9990234375,49.658203125,50.146484375,52.24609375
0x20006200,3578.0,49.54507826692635,0.9012966199992978,46.923828125,48.974609375,49.51171875,50.1220703125,52.099609375
0x20006400,3578.0,49.42277595942216,0.830412018735496,47.0458984375,48.828125,49.4384765625,50.0,52.7099609375
0x20006600,3578.0,49.82122055573994,0.8505749656214442,47.1923828125,49.267578125,49.8291015625,50.341796875,52.24609375
0x20006800,3578.0,49.640394096737005,0.8920075873626393,46.3134765625,49.1455078125,49.7314453125,50.2685546875,51.9287109375
0x20006a00,3578.0,49.61598685761948,0.759679556659093,47.3388671875,49.072265625,49.609375,50.1708984375,51.708984375
0x20006c00,3578.0,49.561645439578676,0.8046349328074532,46.728515625,48.9990234375,49.560546875,50.146484375,51.7822265625
0x20006e00,3578.0,49.58896626301355,0.8097424708507487,47.0947265625,48.9990234375,49.609375,50.146484375,52.05078125
0x20007000,3578.0,49.47380803696199,0.7954638866976481,46.3623046875,48.9501953125,49.4140625,49.9755859375,52.197265625
0x20007200,3578.0,49.76457283442216,0.7649321475743658,46.8994140625,49.2919921875,49.8291015625,50.2685546875,51.806640625
0x20007400,3576.0,49.5332722162507,0.8992113710173006,46.7529296875,48.9501953125,49.609375,50.1708984375,52.05078125
0x20007600,3576.0,49.52428079558165,0.8199487331286198,46.826171875,49.072265625,49.5849609375,50.048828125,53.1005859375
0x20007800,3575.0,49.72288843968531,0.900732434389403,47.2900390625,49.1455078125,49.658203125,50.2197265625,53.125
0x20007a00,3574.0,49.558627358614295,0.8394719907183017,47.0458984375,48.9501953125,49.51171875,50.1708984375,52.5146484375
0x20007c00,3574.0,48.671038883254056,0.8488798356879876,46.2890625,48.0712890625,48.6328125,49.2431640625,52.0263671875
0x20007e00,3574.0,24.06859736770775,3.8509754198146537,21.0205078125,22.9736328125,23.5107421875,24.0478515625,51.3427734375
